text,labels
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] 1hr ez? [SEP] LOL [SEP] bad for us,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] 1hr ez? [SEP] LOL [SEP] MIRANA? [SEP] X,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] 1hr ez? [SEP] LOL [SEP] MIRANA? [SEP] ya ez [SEP] WELL PLAYED FURION KILL SF GOGO,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] 1hr ez? [SEP] LOL [SEP] MIRANA? [SEP] ya ez [SEP] loser [SEP] wp,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] 1hr ez? [SEP] LOL [SEP] MIRANA? [SEP] ya ez [SEP] loser [SEP] noob [SEP] sladar u so rich...,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] 1hr ez? [SEP] LOL [SEP] MIRANA? [SEP] ya ez [SEP] loser [SEP] noob [SEP] ggwp :) [SEP] HAHA,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] 1hr ez? [SEP] LOL [SEP] MIRANA? [SEP] ya ez [SEP] loser [SEP] noob [SEP] ggwp :) [SEP] try hard? [SEP] wow that arrow,O
gg,O
nice nice,O
LOL,O
<3,O
ya,O
this bs,O
ez 25,I
Worth?,O
WHAT A,O
all dp,O
no [SEP] i know how to count,O
no [SEP] Heehehehhe [SEP] where u pro pudge,O
noob,E
XD,O
worth?,I
wp,O
"ahahayeah i am real , james is real [SEP] ty",O
"ahahayeah i am real , james is real [SEP] LOL YOU'RE BACK [SEP] fuck u storm i will use chronio just on you remember",E
"ahahayeah i am real , james is real [SEP] LOL YOU'RE BACK [SEP] YOU ARE REAL A REAL IDIOT [SEP] SHUTUP ARSE. JUST PLAY THE GAME. FUCKING CHICKEN SO NOISY",E
"ahahayeah i am real , james is real [SEP] LOL YOU'RE BACK [SEP] YOU ARE REAL A REAL IDIOT [SEP] HI PUCK [SEP] hahahaha",O
ez botlane?,I
the bait xD NO NÖ NO WAY!!!! .................,O
?,O
lol every game is trying [SEP] ASıoufhsjghsdg,O
fag,E
ty good to know,O
same,O
bg Ez shit [SEP] haha,O
"your on our fucking team, you should be arguing our point if he dc, unfair game simples",E
ggwp,O
what pudge ? pudge what r u saying? [SEP] OH BARA WHAT A HERO GREAT CHARGE WHAT A DIFFICULT PLAY TO CLICK ON SNIPER TWICE,O
what pudge ? pudge what r u saying? [SEP] sun strike well [SEP] report fv please!  and say hi to youtube!,A
what pudge ? pudge what r u saying? [SEP] sun strike well [SEP] noob pudge [SEP] 515 my ping,O
ĄĄĄĄĄĄĄĄĄĄĄĄĄĄĄĄĄĄ,O
WTF,O
ahah 4 +1 players [SEP] unpause its too long,A
gg,O
gg,O
gg [SEP] 30 sek he back,O
gg [SEP] pa pidar report ego [SEP] Wtf 4v1 wtf? Really?,O
lothar is for real better than bkb?,O
AVED god bless [SEP] nice boy,O
AVED god bless [SEP] lel [SEP] es ?,O
AVED god bless [SEP] lel [SEP] RIP DEVIL [SEP] ?,O
silancer last pick,O
deine mama [SEP] cuz not one pick suppp see my team',O
:),O
why not? we're best buds he's a big flamer,O
it should...,O
rekt mid?,O
?,O
normal everyday 3k,O
GG ALREADY,O
hey slark ur lvl 6+ how to do ? Napakatanga mo hah,O
wtf what a gay,E
;3 <3,O
rekt,O
gg wp [SEP] ty,O
"gg wp [SEP] My team is feeding so much, our team name is Soup Kitchen [SEP] omnislash",O
nd bot,O
gg naga too easy of a hero [SEP] seriously team? ur all so lovely that shit,E
gg naga too easy of a hero [SEP] Q E [SEP] gg ez mid,I
gg naga too easy of a hero [SEP] Q E [SEP] u obv havenet ever played naga [SEP] no just wasting time,O
gg naga too easy of a hero [SEP] Q E [SEP] u obv havenet ever played naga [SEP] end [SEP] like 1k ping,O
thats my bad,O
too ez,I
JAJAJ [SEP] ppl like this bb and kka noobs,E
died,O
gg [SEP] XD,O
gg [SEP] ez mid [SEP] lol,O
gg [SEP] ez mid [SEP] gg wp [SEP] gg,O
qop  nice catch,O
snipa i like ur name xD,O
sure kid [SEP] lol want paus? really? ES,O
sure kid [SEP] sk is a kid [SEP] GG,O
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] morreu no susto,O
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] Thats a suicide not a teamwork :D,O
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] they thinkg I bought that gem [SEP] XD,O
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] they thinkg I bought that gem [SEP] #3kForLife [SEP] hes ingame u can look,O
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] they thinkg I bought that gem [SEP] #3kForLife [SEP] keep sucking your own dick bet it tastes good [SEP] and?,O
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] they thinkg I bought that gem [SEP] #3kForLife [SEP] keep sucking your own dick bet it tastes good [SEP] not sk's fault [SEP] wtf w8,A
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] they thinkg I bought that gem [SEP] #3kForLife [SEP] keep sucking your own dick bet it tastes good [SEP] not sk's fault [SEP] he fed me blink [SEP] report him,A
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] they thinkg I bought that gem [SEP] #3kForLife [SEP] keep sucking your own dick bet it tastes good [SEP] not sk's fault [SEP] he fed me blink [SEP] yup when I had no items fuck face [SEP] cum at your back,E
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] they thinkg I bought that gem [SEP] #3kForLife [SEP] keep sucking your own dick bet it tastes good [SEP] not sk's fault [SEP] he fed me blink [SEP] yup when I had no items fuck face [SEP] get rekt sk  salt is real [SEP] sec,O
sure kid [SEP] sk is a kid [SEP] :slaty: [SEP] he buys a gem for no reason [SEP] they thinkg I bought that gem [SEP] #3kForLife [SEP] keep sucking your own dick bet it tastes good [SEP] not sk's fault [SEP] he fed me blink [SEP] yup when I had no items fuck face [SEP] get rekt sk  salt is real [SEP] lol [SEP] look at the chat,O
"wow, we wait for you you guys do this",A
our carries are worse [SEP] ggwp,O
our carries are worse [SEP] we can have carries like that [SEP] pfffttt my goodness,O
our carries are worse [SEP] we can have carries like that [SEP] yay for shitty carries lol [SEP] THATS SOME 5K SHIT RIGHT THERE BRUH what u doin in2.5k mmr bracket ?! You're dendi 2!,E
our carries are worse [SEP] we can have carries like that [SEP] yay for shitty carries lol [SEP] gg I guess [SEP] easy,O
our carries are worse [SEP] we can have carries like that [SEP] yay for shitty carries lol [SEP] gg I guess [SEP] void without bkb unlres [SEP] sry,O
our carries are worse [SEP] we can have carries like that [SEP] yay for shitty carries lol [SEP] gg I guess [SEP] void without bkb unlres [SEP] OD farmed her ass off [SEP] sure fuck,E
our carries are worse [SEP] we can have carries like that [SEP] yay for shitty carries lol [SEP] gg I guess [SEP] void without bkb unlres [SEP] OD farmed her ass off [SEP] ^ [SEP] i fucked your moms,E
our carries are worse [SEP] we can have carries like that [SEP] yay for shitty carries lol [SEP] gg I guess [SEP] void without bkb unlres [SEP] OD farmed her ass off [SEP] ^ [SEP] she is buying butterfly.. [SEP] because ez,I
? do u think i care in 3v5 game? just farm and go ff asap this fucking stupid noob game,E
it makes me happy that at least you are dump [SEP] noob sf,E
my mother got me this new laptop,O
MI,O
HAHAHA this fucking pc restarted himself,O
were aliev dumbcunt,O
we all gave up at min 1,O
grrr,O
i wish i have any report left 4 would do the job,A
ez,I
ez,I
BAIA BAIA,O
damn you horseman,E
LOL,O
cumback [SEP] hahaha,O
cumback [SEP] lol [SEP] yup,O
cumback [SEP] lol [SEP] he is goiod [SEP] gl. hf,O
having good supports helps not everyone can play cores,O
Mmm Windrunner report pliz only feed [SEP] not ez,I
Mmm Windrunner report pliz only feed [SEP] ? EZ MID [SEP] that gap xD,O
he cant connect  wtfast . just connecting with t it,A
gg [SEP] greedy,O
save your fucking throne,O
no we dont know him but we are being polite coz reborn is crap client [SEP] ya,O
no we dont know him but we are being polite coz reborn is crap client [SEP] he is in dotka [SEP] loves*,O
oops,O
he may be with you in next game [SEP] easy game,I
:D fun lina,O
u guys just bad but [SEP] NO WARD we happy no ward,O
u guys just bad but [SEP] pudge feeder killing ppl on purpose u will get him in next game probably and it wont be intresting as it seems now so report him [SEP] 30 sec omg,O
u guys just bad but [SEP] pudge feeder killing ppl on purpose u will get him in next game probably and it wont be intresting as it seems now so report him [SEP] while u still didnt get him in team [SEP] ^^,O
bkb blink,O
gg wp [SEP] haha nice,O
h3h3h3,O
thats bad,O
hard  mid [SEP] well timber to be honest you should have just shit on slardar 1v1,E
hard  mid [SEP] and ez pts [SEP] gg,O
ggwp,O
that retarded SF is going to win the game [SEP] NICE TP WK IDIOT AND STUN,E
"its 21mins, its recorded! bitch",E
we need he afk or leave,A
fact [SEP] go thru wr go end,O
fucking rekt cunts ez ezist game of life,E
ty sf [SEP] euls slark in my ulti,O
ty sf [SEP] SAND KING you lose i thing? [SEP] more freezes retarded reborn,E
i cant run icant hide xd,O
1 0 0 15 mib min* fine ,O
sec [SEP] wrong way lion,O
sec [SEP] sec pls [SEP] hahahha yeye,O
sec [SEP] sec pls [SEP] pls [SEP] fucking thais,E
us good>u bad,O
? nah but germans fucks me,E
lel Wtf dog,O
no timers please let him come [SEP] Wew,O
no timers please let him come [SEP] 2 more mins . [SEP] wait la,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] !!,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] i like ur stream,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] chemistry We had That,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] stfu cumbacket,E
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] G [SEP] RS,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] G [SEP] pls wait :( [SEP] wp boys,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] G [SEP] pls wait :( [SEP] :/ [SEP] ? offlane veno solo support rapes u,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] G [SEP] pls wait :( [SEP] :/ [SEP] wait [SEP] Thats all I gotta say Drow 2-5,I
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] G [SEP] pls wait :( [SEP] :/ [SEP] wait [SEP] hope so [SEP] ahahaha,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] G [SEP] pls wait :( [SEP] :/ [SEP] wait [SEP] hope so [SEP] lag wait [SEP] HZ,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] G [SEP] pls wait :( [SEP] :/ [SEP] wait [SEP] hope so [SEP] lag wait [SEP] fast recon [SEP] |put ss on mne,O
no timers please let him come [SEP] 2 more mins . [SEP] fuck this WIND [SEP] ? is he coming back ? [SEP] T_T [SEP] yea true [SEP] G [SEP] pls wait :( [SEP] :/ [SEP] wait [SEP] hope so [SEP] lag wait [SEP] fast recon [SEP] aha [SEP] 0-6 0-7 team pro,I
:DDD,O
then dnt defend [SEP] gg,O
report him plz,A
?,O
go thru wr go end [SEP] it's not over,O
go thru wr go end [SEP] ALL SLOW :@ [SEP] duel me more bitch,E
go thru wr go end [SEP] ALL SLOW :@ [SEP] xD [SEP] lol,O
go thru wr go end [SEP] ALL SLOW :@ [SEP] xD [SEP] its a trap [SEP] i killed it,O
go thru wr go end [SEP] ALL SLOW :@ [SEP] xD [SEP] its a trap [SEP] anjing [SEP] ??,O
go thru wr go end [SEP] ALL SLOW :@ [SEP] xD [SEP] its a trap [SEP] anjing [SEP] dnt kill me pls [SEP] gg ff buying rapira,O
XD,O
./.,O
pls fair [SEP] noobis,E
pls fair [SEP] we lose :( [SEP] Thanks for the game,O
pls fair [SEP] we lose :( [SEP] we lose :( we already lose end [SEP] ez mid,I
yes it its it is,O
gg,O
gg [SEP] 7 hits,O
pls,O
you suck [SEP] ggwp,O
joke alche lol so bad,E
we would have won already but this is just a retard,E
tr try TRY,O
when did i talk shit,E
GG,O
0-3 talking haha,I
tell that to PA unpause,O
ggwp,O
gg [SEP] ?,O
"gg [SEP] report slark [SEP] these 2 , sooo heavy",O
COMMEND me,A
jut watch this pa look at this and he have wards and ukltimate,I
gg,O
this is dota so land hooks [SEP] no need def 3 idiots are real,E
gg,O
hahahahha yo mama better,O
report am,A
that was skill man [SEP] but habit for 8 years,O
ezez,O
ez,I
ok jug lets 1 v 1,O
report ty,A
ur heroes sucks on defending supercreeps hhhahahah,E
wirth? worth? werth? [SEP] zero noob,E
wirth? worth? werth? [SEP] its wirth -sb [SEP] ;) WOW,O
they blame u :'( doom  dont be sad,O
wirth it [SEP] ?,O
8wins streak got broke im done for,O
gg [SEP] true i actually make clocks,O
gg [SEP] lowest level mid hero nice [SEP] gg,O
gg [SEP] lowest level mid hero nice [SEP] ggwp [SEP] how many gorillas are you?,O
gg [SEP] lowest level mid hero nice [SEP] ggwp [SEP] ez pudge [SEP] lol,O
WEEEE,O
bb,O
plz wait for our mighty leader,A
like it matters [SEP] free mmr,O
ggwp,O
u talking? about tryharding [SEP] LOL,O
u talking? about tryharding [SEP] gg [SEP] thanks,O
u talking? about tryharding [SEP] gg [SEP] U seen our storm? its a miracle we won this [SEP] fagate tin poutsa,O
u talking? about tryharding [SEP] gg [SEP] U seen our storm? its a miracle we won this [SEP] he randomed? xd [SEP] hai,O
u talking? about tryharding [SEP] gg [SEP] U seen our storm? its a miracle we won this [SEP] he randomed? xd [SEP] 5 bkbs holy shit try is hard [SEP] hey clock i love you,O
wp,O
that steal thou,O
just report [SEP] snickers.,O
just report [SEP] im not into old guys sry [SEP] ty,O
just report [SEP] im not into old guys sry [SEP] report pls [SEP] lel,O
just report [SEP] im not into old guys sry [SEP] report pls [SEP] wtf dude [SEP] gg wp,O
just report [SEP] im not into old guys sry [SEP] report pls [SEP] wtf dude [SEP] no [SEP] i have viper premuted he say anything XD ?,A
just report [SEP] im not into old guys sry [SEP] report pls [SEP] wtf dude [SEP] no [SEP] lol [SEP] :D,O
just report [SEP] im not into old guys sry [SEP] report pls [SEP] wtf dude [SEP] no [SEP] lol [SEP] in lategame [SEP] And this botlane was doing so well,O
just report [SEP] im not into old guys sry [SEP] report pls [SEP] wtf dude [SEP] no [SEP] lol [SEP] in lategame [SEP] so what happend? [SEP] report naix for flame and being useless :D,E
just report [SEP] im not into old guys sry [SEP] report pls [SEP] wtf dude [SEP] no [SEP] lol [SEP] in lategame [SEP] so what happend? [SEP] yes [SEP] 0 damage duels,I
yeah but low connecting,O
i play for fun [SEP] gg,O
i play for fun [SEP] she is a carry? i can report [SEP] sladar,O
i play for fun [SEP] she is a carry? i can report [SEP] u d won this dude.. why u feed.. [SEP] yes,O
i play for fun [SEP] she is a carry? i can report [SEP] u d won this dude.. why u feed.. [SEP] only i buy wards and its no fun i dont play for the win [SEP] so ill buy whatver,O
i play for fun [SEP] she is a carry? i can report [SEP] u d won this dude.. why u feed.. [SEP] only i buy wards and its no fun i dont play for the win [SEP] but 2 people gonna fuck me and venge didnt support so i dont care [SEP] so short,O
