text,labels
I thought game was going well until I realized sf is an accountbuyer xD,O
that's how i feel u just expressed,O
,O
gaycumback,E
scared to loss,O
GG,O
we got an afk,A
This legion is shit,E
razor and necro peruvians,E
nice gg commend,O
GG WP,O
its your moms name,E
:)))0,O
ggwp,O
:D !,O
:D,O
VIVA,O
israel,O
its just a bad joke 4 people farming on their lanes....impressive,O
ggwp,O
gg,O
reported QA and PA,A
fuck la,E
low prio,O
haha,O
Aw,O
that for pudge bitch,E
"gg ty next? if you let us push through fast, we can end at min 15 we both can do another",O
z tactical afk,A
GG fucking noob,E
ty for game,O
sf fng,O
defend againts the mega,O
ye yellow is.. he's european.,E
offline about 5 mins ago,O
glhf,O
GG,O
sorry you suck atm let me know when you're pro,E
really?,O
??,O
zeus is the noobest admit it,E
tbh am is pretty shit,E
?,O
this is dota so land hooks,O
rfc,O
i'm your yellow player,O
tinker,O
you can get one abandon,O
dont mess with alliance?,O
orange practice ur invoker sumail invoker wouldnt miss that,O
gg,O
?,O
g g,A
Was pretty good game,O
mid noob plus wk noob  wala talo talga,E
wut,O
k,O
funny ez,I
ya,O
whos stupid noiw,E
you noob shit. 5 lose still want mid ?? fucking idiot srsly,E
gg,O
kjikl come,O
report silencer,A
he dl porn HA,E
ez,I
im chilled brosky,O
sfs afk hit him,A
TOP ALL CHATING U FUCKING IDIOT,E
live with me if u want to come,O
ggwp,O
26-9  ? lol,O
gg wp ez,I
F{F{F,O
ROLF,O
usap tau>,O
:D,O
talk more dude,O
ooohhh FUck,E
in game alr,O
Di bagay right hook mo pudge,O
ez,I
techies 'nerf' unlimited bombs lewl,O
stupid game,E
love randmon ass pudge suicide #skill,E
yeah '322',O
gg,O
im getting like 500 ping from california,O
report pheonix,A
how long,O
bkb lasted longer anyway she dead by taht time,O
=-),O
gg,O
that's him being a dumbass then,O
gg miss,O
hah,O
aw gagaga,O
lolz,O
and pussy,E
:D,O
FFS,O
OpieOP,O
:D :D :D :D,O
ggwp,O
rofl,O
hmmm,O
I Can go suicide now .,I
;DDD,O
do you know how hard it is to last hit with drying nail paint? DIFFICULT,O
wow,O
whom could echo u on mid but he waited,O
sorry too ez for me,I
hayy u really want comeback? i hope this is plus 50 so much time wasted u think u can win?>,O
what the fucking tards in team? silencer afk 10 min,E
y if he dont come b gg next :D,O
what shpould he buy then iron branch?,O
wp,O
Are u spooked,O
LOL,O
aw,O
1 minets,O
GGWP,O
xD,O
lol noob,E
the rare time that a supp pick gets blamed ),O
lol,O
nO DEFEND,A
nice duel lane mid,O
FKING EARTH,E
fuaskf,E
h,O
thanks,O
freee farm dusa though memba?,O
shut the fuck up really,E
for sky,O
gg,O
y  must be worth it,O
cumbag DansGame,O
Z,I
lol,O
bobo ez,E
yea gg,O
hahaha,O
GG,O
go at 3rd tower,O
na,O
wp,O
fkin ember cannot save vs tinker already tried the best to hook the game,E
ezzzy,I
idiot!,E
just report,A
help dota,O
why? for missclick a lot?,O
:D,O
ggwp,O
gg,O
report wr please  very nobss,E
0-5 gg go next,I
gg WP NICE STORM he knows how to use his passive xD XD XD THIS GUY iS HILARIOUS SOMEBODY TELL HIM HOW HIS PASSIVE WORKS XD,O
you mean autistic welp,O
HAHA AM NOOB go def,E
tutututututut tutututut,O
like invo jungle,O
gg wp,O
WR I KNOW YOUR PROBLEM FLAME TEAM NBEVER WIN,O
kek game,O
REPORT AXE WAT THEH HELL,A
miss what?,O
Lol :D,O
hey guys,O
Z KID,E
moan more?,O
raku,O
rip,O
GIVE PLS,O
highlight of mirana,O
has not bought a compendium :(,O
WTF WAS THAT,O
ez coin,I
gg,O
just reconnecting,A
it was a fun game cheers guys,O
idiot natural,E
nice anti guys],O
ggwp like,O
team so RETARD,E
great 30 min afk for me pls i need to jurkoff,A
LOL,O
§z,O
bara dun charge me please,O
jk that armor,O
gg pls report tree because u dont want him to be your teammate next game,A
GG,O
?,O
2 1,O
rofl,O
gg,O
dang,O
we are throwing pretty hard,O
suki,O
you dont deserver to win this,O
for this shit,E
gg,O
cannot farm bot from ember,O
picking clinkz to counterpick phoenix,O
lol,I
thanks,O
gg wp,O
gg live,O
didnt know i had a win streak,O
comend ç,A
report pa pls,A
without doom this game will carry another 60min just leave xD,O
ask your parents to teach you english,E
word,O
uh really?,O
:D,O
i got bf faster then am can get it,O
haha,O
LOL,O
?,O
Gg,O
good trade,O
what em i doing here this is so absurb,O
LMAO :D:D:D::D.,O
GG EZ MID,I
dont push fuck :D,E
what a shame,O
ok,O
hey guys care we got silencer agha without a point in curse :D :D:D:D:D,O
ez mid,I
u go for alch and not ta?! omg yall gonna lose,O
}aoxaoxaoxaoao,O
im 5k sorry,O
"Brood is solo hard hero, right?",O
frm 5.5 drop until 4.9,O
im coming,O
GO END,O
GG,O
gg,O
ggwp,O
MORE DAMAGE DUDE,O
ez,I
<3,O
wp kunka,O
Miis click omfg my ulti don't go,O
ggwp,O
REPORT WR PLEASE  ez mid,I
commend team,A
yaya pro techies u so pro satiesfied?,O
lc thejm pls sladar noob,O
commend,A
shut up fegget,E
nice stun,O
wp,O
hello tiny xD,O
but my mates will aim whoever ill due wp,O
NO AA ULTI,O
basically me and mirana are on the wrong team ggwp,O
wala gg atras abante kasi ampota mga bobo,O
bn,O
,O
lol that bitch too early too say ez,E
0-9  nice dazzle :v,I
wp tiny,O
AND NOT THIS SF relax lane bot for doom my shaker carry always farm on jungle and no help for kill this doom but its europa,O
thats what im asking ffs either way diff against me :)),O
he is leaveing,A
silencer? why you be quiet?,O
gg,O
yeah noob am tho,E
its me sir :),O
ez all lanes,I
GGGGG OMG,O
gg,O
noob? u noob Wr,E
GG,O
soonTM lol,O
hey,O
FUCKTARD NOW IN GAME,E
mirana perrra,O
gg,O
balanar you are a very good player,O
GG,O
we w8 u btw,A
spectre > am + lc,O
yea u p[lay like shit tho,E
haha,O
gg wp,O
:O,O
ggwp,O
ok bro,O
no timers please let him come,A
to fast ?,O
riki pro haaa,O
ggwp,O
xD,O
haha,O
jaja,O
Z GG,I
am i tank enough?,O
haha,O
no notlikethis,O
spam f9 hahahahah,O
ult creeps more,O
gg gg,O
FUCK EM ALL xd,E
ff,O
!,O
sec,O
the feeds,O
paid puck 100 bucks to do that thx puck,O
whhy,O
5 streak xD,O
we all report u sf,A
report meepo,A
outplayed',O
and u cant stop my farm idiots,E
Lol,O
jukt,O
easy 1k 1k gold 2k lost in a row dead crow,I
gg,O
wow 3 ult 5-12 meepo wow,I
0-7,I
Z MID,I
lucky ? u are noob,E
es reported for ability abuse abusive fuck,E
it should've been 300mins,O
ggwp,O
just take,O
wtf,O
LD :D,O
poor alche,O
#NAME?,O
hey,O
???,O
how does a viper lose that hard to a dp mid when me and pudge ganked him twice,O
ppl got shitty pcs,E
gg,O
lol,O
serious you dont push? Wtf wow you really needed rosh,O
lol ahgahhaa,O
gg ez,I
fuck,E
wow cm ulty,O
i think gg,O
hahahhaha,O
Haha,O
0 5 WK 0 is for your IQ,E
;C,O
23,A
yep wp pa wow pa ur relly good,O
+,O
:V,O
luna if u buy rapier may be cumback,O
=(,O
cada  ves tocan mas basuras en el dota,O
swpt,O
sf ?,O
plz let us claim +@5,O
?,O
ez mid how help this helpless team?,E
102 ping my ghad he is not my teamate,O
facts,O
wait please,A
GG,O
your wk blablabla,O
lmao thats your fault,I
5500 europe ranked matchmaking first game of the day,O
im lucky,O
all g,A
he pro srsly but ganked :)),O
gg,O
ty,O
nice afk,A
appaK,O
glhf,O
you had trilane top,O
just saw u,O
ty,O
gg,O
GGwp,O
end :),O
my gem,O
i play for fun,O
what ?,O
INVOKER WP,O
`SCARED AS SHIT,E
zzz,O
X DEEE,O
lol gagos,O
ambulance here :3,O
wtf was that courier doing here,O
des wardea,O
or feed,O
offline,O
lol,O
HIT he sucks well,E
ำผ,O
wtf pudge,I
pussies,E
hahaha,O
u have no bash this game?,O
wut,O
?,O
little insect for me,E
Lol,O
game was super ez,I
hes dont leave,O
gg gg,O
ty,O
what gold ?,O
you say 2 v 8 ns,O
HAHA DAAAZEHL,O
rofl,O
ox ez game,I
all feed :)) 4k  idiot sad,E
go vs creeps I hate this retards,O
leFuckingGiggle,E
comeback,O
end  gg,O
(((,O
more cancer pls,E
fucking ez,I
no escape!!,O
HAHA,O
so mad,O
ggwp,O
?,O
gg,O
lol,O
gg,O
ROFL,O
Wtf,O
7-12 sky .. smh,I
BURN IN HELL,I
sak my deek,O
HIT,E
no take denied,O
oh u fast or me fast,O
every game is 50 mmr,I
this ember trash,E
yes?,O
first win so lets go mega creeps,O
will get force for u brood :D np,O
ahora p,O
THIS TAEM XDDDD WTF IOS THIS SHTI,E
if werent for PL i would of own u guys,O
horoshiy doom,O
gg,O
0%,O
rot ebal,O
free mmr fuck that 37 mmr,O
GGGGGGGGGGGGGGGGGGGG,I
for the win,O
rat,O
wtf,O
oh no,O
FINISH PLEASE,O
i dont even know hwats he saying i muted him,O
leave him,O
gg,O
?,O
nice warudo m8,O
comeback,O
NO AS I WAS COMMING OUT OF EULS BEFORE BLINK (WHICH HAS NO CAST TIME) WENT OFF U HOOKED ME,O
sorry but 2 mins is done,O
stop saying ur moms name bro,E
in game,O
CM IS JUST TOO GOOD,O
sorry you could play league,O
gg,O
LMFASO L:FMAOP,O
hohoho merry x mas,O
maybe 2 mins okay?,A
=)),O
dayuuuuuuuuuuuuuuuuuuuuuuuuum,O
TY MEEPO,O
HEY,O
que,O
TAKE MY PENIS,E
LOL,O
boy,O
gg wp all,O
you mother EZ BITCH! my te,E
this gun be gud,O
CHINESE QOP,E
okay fuck shit,O
noob team,E
man new update from 2month,O
Gg,O
Losers,O
#tooeasy,O
LET'S REPORT VENOM,A
zzz,O
whos your daddy,O
pq meu sup,O
ad jug,O
NONE? wow,O
why would we...,O
aha,O
that hook,O
AWWW its ok,O
wtf haha,O
gg,O
it doesn't have a sexual preference,O
sii  Me toco mis compatriotas,O
if our 4k ember wasn't dogshit,E
report wyvern i commend you,A
shhhh,O
can u guys end thanks,O
u guys are good but i am great sorry,O
fuk where is this cCntt,E
ofc check his items lmao,O
fuck your split :-*,E
RESPECT,O
"nvm, sry",O
rubick peruvian xd,E
gg,O
fail carry report,I
haha,O
rip english,O
he is squishy,O
wow,O
?,O
???,O
"well 4,5 is trash",E
report backdoor!!,A
Fucker bitch,E
alch he had the same kda as you as a supp lol,O
WIPEOUT ? ONLY ME ?,O
haha,O
great joke/10,O
ho yeajj  xD,O
k/d,O
GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,O
Whats wrong with u rae u really desperate for mmr,E
buy 200deward,O
"its probably gg,. but its sad that kids spend more time arguing and giving up instead of playing ggwp",I
),O
well played dire i mean radiant ** :( gg wp wellplayed sf ty quick game than with these homies,O
well AMed,O
hould i say ez or something?,O
nice joke mate,E
hopefully he wont be in ur team next game,I
wp,O
gg,O
throne all me afk,O
dont angry lei..,O
lmao,O
not today cunt,E
easy game.,I
?,O
we waited 5 already kek,O
i can buy a lot of couriers,I
dogeee,E
run ur face,O
r o f,O
no,O
axe needs to reset and i will finally pe,O
gg,O
y 1 vs 5 ofc,O
WELL U PEOPLE USCK,E
wow wow wow comeback,O
ggwp,O
are u still talking,O
GGWP LAG,O
push,O
saved by tornado lol,O
?,O
:(,O
?,O
kkk,O
BRAVO,O
w8,A
you chill brah,O
gg wp wp,O
Greedy`s goof good,O
^^,O
ur mom boom,E
aff vsf neh,O
damn it,O
gg,O
.I.,O
of gay naga gaem,E
gg :D,O
next time i have iy it,O
rly,O
>>>,O
hahaha,O
DIE noob,E
yeah,O
gg,O
delete dota sf,E
w8,A
VEry lag 1000 ms,O
3 heroes bot and this am still poor lmao pick am jsut wanna show his basher Joke,E
my score is sick,O
odin pick ohuennee drugogo prosto,O
so wat about now ?,O
is worst dota,E
jajaj,O
Tipo daj ja 2 skill On bi ushel iz 2 sek stuna,O
NICE GEM HAHAHA,O
its okay we wait but pls guys report yellow he is cancer,A
ACTUALLY EZ GAME,I
./.,O
he ran like a fkn spastic LOL,O
void void,O
gg,O
ALL SLOW :@,O
tryna gank me? TRYNA GANK ME,O
lel,O
lol,O
gg,O
my bad sorry,O
who wants to watch a 2k stream,O
?,O
all gosu here ^^,O
GG hook We have stupid supp min 17 fly cour? no ward so gg mmr 34,E
CHTO CHTO CHTO,O
sf u dont flame when u die?,O
the fingering begins,O
gg,O
there should be a point after the recorded.,O
we w8,A
uck quit dota,I
wew ez mid?,I
gg,O
press R pls,O
sure ro bro :D,O
GG Good keeper,O
?,O
AHAHA GG WP,O
Gg,O
IDK either :D hahaha can't talk too big for ya you're strong than me,O
Me 2,O
good for u our am is shit,E
plz,O
VERYONE DESD,O
XD GG,O
io like diccks,E
LMAO LMAOOO OK,O
and i rocked the ground That's a plus,O
^_^,O
report me too,I
excuse me?,O
ever!!! reported please,A
ez 25,I
BOBBY BRACKINS,O
im only one hgahahah,O
OH LMAO WR HONW U DIE ?,O
promise?,O
ty,O
lol,O
best SF,O
u?,O
wait wait,A
base guys,O
chill dont give up yet,O
retard,E
Z,I
he said  get ready to kill me again,O
rofl this team,O
ez,I
agree,O
??,O
wow full retard mid gg,E
ez mid too,I
WHAT AR EU DOING FEEDER,O
space boys,O
stuck idiots,E
pfft,O
lol every game is trying,O
def,O
wait sur,O
ez mid,I
ez game boyos,I
o am is in this team to,O
please report sf,A
cant escape this ceasepool,O
this tyiny haVBE BIG ISSUE,O
BTW WP ES AND DISRUP,O
how the fuck u aim me kids,E
no i didnt,O
WOW,O
finding someone to duel,O
gg,O
wait fuckinng russiinn tard,E
magic sucks,E
fk this game,E
gg guys go end,O
yeah pretty funny,O
he's not so friendly,O
stupid player,E
fuck off,E
gg,O
Hes busy right now shittalking the Rubick,E
NOOB FUCK,E
wp this ember so noob haha,E
hehe,O
commend me ::),A
? mjst be,O
THAT'S ME,O
gg,O
gg lc,O
tactic,O
^^,O
gege,O
wait my bg,O
u nkow its a good start,O
its mmr,O
he rage quit,I
w8 plz,A
10 deaths noob,E
im not into old guys sry,O
haha,O
gg,O
ROFL,O
please report axe,A
mint,O
